"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES"
"Feb 15, 2024 4:38 PM","(-) Expense","113.00","Food","Primary","ice cream"
"Feb 15, 2024 8:07 PM","(*) Transfer","5177.00","-","Primary->Credit","credit card payment"
"Feb 16, 2024 8:17 AM","(-) Expense","11.00","Food","Primary","cutting chai"
"Feb 16, 2024 8:52 AM","(-) Expense","41.00","Transportation","Metro","metro"
"Feb 16, 2024 1:07 PM","(-) Expense","88.00","Food","Primary","office cafeteria"
"Feb 16, 2024 4:41 PM","(-) Expense","34.50","Food","Primary","vada pav"
"Feb 16, 2024 7:12 PM","(-) Expense","49.00","Transportation","Metro","metro"
"Feb 16, 2024 9:03 PM","(-) Expense","174.00","Food","Primary","burger"
"Feb 17, 2024 7:00 AM","(-) Expense","120.00","Sport","Primary","gym day pass"
"Feb 17, 2024 8:23 AM","(-) Expense","33.00","Food","Primary","filter coffee"
"Feb 17, 2024 6:21 PM","(-) Expense","257.00","Entertainment","Primary","cafe hangout"
"Feb 17, 2024 8:08 PM","(-) Expense","337.00","Social","Primary","festival sweets"
"Feb 18, 2024 8:20 AM","(-) Expense","26.00","Food","Primary","filter coffee"
"Feb 18, 2024 1:08 PM","(-) Expense","90.00","Food","Primary","office cafeteria"
"Feb 18, 2024 4:43 PM","(-) Expense","56.00","Food","Cash","dosa"
"Feb 18, 2024 6:17 PM","(-) Expense","153.00","Entertainment","Primary","cafe hangout"
"Feb 19, 2024 8:20 AM","(-) Expense","33.50","Food","Primary","filter coffee"
"Feb 20, 2024 7:00 AM","(-) Expense","379.00","Sport","Primary","badminton court"
"Feb 20, 2024 8:20 AM","(-) Expense","22.00","Food","Primary","filter coffee"
"Feb 20, 2024 8:49 AM","(-) Expense","31.00","Transportation","Metro","metro"
"Feb 20, 2024 1:05 PM","(-) Expense","122.50","Food","Primary","thali"
"Feb 20, 2024 5:46 PM","(*) Transfer","1082.00","-","Primary->Cash","atm cash"
"Feb 21, 2024 8:20 AM","(-) Expense","11.50","Food","Cash","tea"
"Feb 21, 2024 8:47 AM","(-) Expense","24.00","Transportation","Primary","bus"
"Feb 21, 2024 1:04 PM","(-) Expense","87.50","Food","Primary","lunch"
"Feb 21, 2024 4:42 PM","(-) Expense","11.00","Food","Primary","cutting chai"
"Feb 21, 2024 7:10 PM","(-) Expense","25.00","Transportation","Primary","bus"
"Feb 22, 2024 8:22 AM","(-) Expense","35.00","Food","Cash","filter coffee"
"Feb 22, 2024 8:48 AM","(-) Expense","31.00","Transportation","Primary","metro"
"Feb 22, 2024 1:04 PM","(-) Expense","158.00","Food","Primary","lunch"
"Feb 22, 2024 7:10 PM","(-) Expense","41.50","Transportation","Primary","metro"
"Feb 23, 2024 8:21 AM","(-) Expense","12.00","Food","Primary","tea"
"Feb 23, 2024 8:47 AM","(-) Expense","15.00","Transportation","Primary","bus"
"Feb 23, 2024 1:04 PM","(-) Expense","119.00","Food","Primary","lunch"
"Feb 23, 2024 7:10 PM","(-) Expense","20.50","Transportation","Primary","bus"
"Feb 24, 2024 7:00 AM","(-) Expense","147.00","Sport","Primary","gym day pass"
"Feb 24, 2024 8:17 AM","(-) Expense","11.50","Food","Primary","cutting chai"
"Feb 24, 2024 1:07 PM","(-) Expense","123.00","Food","Primary","burger"
"Feb 24, 2024 4:42 PM","(-) Expense","33.00","Food","Cash","poha"
"Feb 25, 2024 1:05 PM","(-) Expense","465.00","Food","Primary","outside dinner"
"Feb 25, 2024 3:28 PM","(-) Expense","1543.50","Health","Primary","lab test"
"Feb 26, 2024 8:23 AM","(-) Expense","32.00","Food","Primary","filter coffee"
"Feb 26, 2024 8:52 AM","(-) Expense","42.00","Transportation","Metro","metro"
"Feb 26, 2024 1:08 PM","(-) Expense","59.50","Food","Primary","idli"
"Feb 26, 2024 7:07 PM","(-) Expense","40.00","Transportation","Metro","metro"
"Feb 27, 2024 7:00 AM","(-) Expense","107.00","Sport","Primary","swimming"
"Feb 27, 2024 8:17 AM","(-) Expense","13.00","Food","Cash","tea"
"Feb 27, 2024 8:52 AM","(-) Expense","18.00","Transportation","Primary","bus"
"Feb 27, 2024 1:03 PM","(-) Expense","54.00","Food","Primary","idli"
"Feb 27, 2024 4:00 PM","(-) Expense","177.50","Shopping","Primary","stationery"
"Feb 27, 2024 4:42 PM","(-) Expense","11.50","Food","Primary","cutting chai"
"Feb 27, 2024 7:13 PM","(-) Expense","31.00","Transportation","Primary","bus"
"Feb 28, 2024 8:23 AM","(-) Expense","12.00","Food","Primary","cutting chai"
"Feb 28, 2024 8:49 AM","(-) Expense","44.00","Transportation","Metro","metro"
"Feb 28, 2024 1:07 PM","(-) Expense","53.00","Food","Primary","idli"
"Feb 28, 2024 7:10 PM","(-) Expense","33.00","Transportation","Metro","metro"
"Feb 29, 2024 7:00 AM","(-) Expense","105.50","Sport","Primary","swimming"
"Feb 29, 2024 8:20 AM","(-) Expense","34.50","Food","Primary","filter coffee"
"Feb 29, 2024 8:50 AM","(-) Expense","56.00","Transportation","Metro","metro"
"Feb 29, 2024 1:03 PM","(-) Expense","79.00","Food","Primary","office cafeteria"
"Feb 29, 2024 7:09 PM","(-) Expense","54.00","Transportation","Metro","metro"
"Mar 01, 2024 8:19 AM","(-) Expense","32.00","Food","Primary","filter coffee"
"Mar 01, 2024 8:48 AM","(-) Expense","57.00","Transportation","Metro","metro"
"Mar 01, 2024 9:14 AM","(+) Income","48000.00","Salary","Primary","monthly salary"
"Mar 01, 2024 9:37 AM","(*) Transfer","11014.00","-","Primary->Savings","monthly save"
"Mar 01, 2024 1:08 PM","(-) Expense","62.50","Food","Primary","idli"
"Mar 01, 2024 7:07 PM","(-) Expense","54.00","Transportation","Metro","metro"
"Mar 02, 2024 7:02 AM","(-) Expense","351.00","Sport","Primary","badminton court"
"Mar 02, 2024 8:23 AM","(-) Expense","10.00","Food","Primary","cutting chai"
"Mar 02, 2024 10:04 AM","(-) Expense","9314.00","Home","Primary","rent share"
"Mar 02, 2024 11:01 AM","(-) Expense","97.00","Ration","Primary","fruits"
"Mar 02, 2024 11:26 AM","(-) Expense","363.50","Ration","Primary","chicken"
"Mar 02, 2024 11:33 AM","(-) Expense","99.00","Ration","Primary","eggs pack"
"Mar 02, 2024 1:02 PM","(-) Expense","227.00","Food","Primary","dinner"
"Mar 02, 2024 4:37 PM","(-) Expense","50.00","Food","Cash","fruit salad"
"Mar 03, 2024 8:22 AM","(-) Expense","12.00","Food","Cash","cutting chai"
"Mar 03, 2024 6:21 PM","(-) Expense","1031.00","Entertainment","Primary","game purchase"
"Mar 03, 2024 9:03 PM","(-) Expense","421.50","Food","Primary","outside dinner"
"Mar 04, 2024 8:17 AM","(-) Expense","10.00","Food","Primary","tea"
"Mar 04, 2024 8:51 AM","(-) Expense","60.00","Transportation","Primary","metro"
"Mar 04, 2024 1:02 PM","(-) Expense","151.00","Food","Primary","lunch"
"Mar 04, 2024 4:43 PM","(-) Expense","64.00","Food","Primary","ice cream"
"Mar 04, 2024 7:11 PM","(-) Expense","46.00","Transportation","Primary","metro"
"Mar 05, 2024 7:00 AM","(-) Expense","71.00","Sport","Primary","swimming"
"Mar 05, 2024 8:52 AM","(-) Expense","53.50","Transportation","Metro","metro"
"Mar 05, 2024 11:21 AM","(-) Expense","720.00","Bills","Primary","wifi"
"Mar 05, 2024 1:07 PM","(-) Expense","92.50","Food","Primary","office cafeteria"
"Mar 05, 2024 4:41 PM","(-) Expense","28.00","Food","Primary","egg puff"
"Mar 05, 2024 7:09 PM","(-) Expense","45.50","Transportation","Metro","metro"
"Mar 05, 2024 9:03 PM","(-) Expense","121.00","Food","Primary","burger"
"Mar 06, 2024 8:52 AM","(-) Expense","34.50","Transportation","Primary","bus"
"Mar 06, 2024 4:37 PM","(-) Expense","35.00","Food","Cash","egg puff"
"Mar 06, 2024 7:08 PM","(-) Expense","25.00","Transportation","Primary","bus"
"Mar 06, 2024 9:00 PM","(-) Expense","669.00","Food","Primary","outside dinner"
"Mar 07, 2024 8:23 AM","(-) Expense","22.00","Food","Primary","filter coffee"
"Mar 07, 2024 8:49 AM","(-) Expense","19.50","Transportation","Primary","bus"
"Mar 07, 2024 1:06 PM","(-) Expense","49.00","Food","Primary","idli"
"Mar 07, 2024 4:40 PM","(-) Expense","83.50","Food","Cash","dosa"
"Mar 07, 2024 7:07 PM","(-) Expense","26.00","Transportation","Primary","bus"
"Mar 07, 2024 9:03 PM","(-) Expense","362.00","Food","Primary","weekend brunch"
"Mar 08, 2024 8:21 AM","(-) Expense","13.00","Food","Primary","tea"
"Mar 08, 2024 8:51 AM","(-) Expense","41.50","Transportation","Metro","metro"
"Mar 08, 2024 12:12 PM","(-) Expense","1312.00","Bills","Primary","electricity"
"Mar 08, 2024 1:06 PM","(-) Expense","67.00","Food","Primary","idli"
"Mar 08, 2024 7:13 PM","(-) Expense","41.00","Transportation","Metro","metro"
"Mar 08, 2024 9:00 PM","(-) Expense","159.00","Food","Primary","lunch"
"Mar 09, 2024 7:00 AM","(-) Expense","111.00","Sport","Primary","swimming"
"Mar 09, 2024 11:16 AM","(-) Expense","193.00","Ration","Primary","fruits"
"Mar 09, 2024 11:19 AM","(-) Expense","204.00","Ration","Primary","weekly veggies"
"Mar 09, 2024 1:03 PM","(-) Expense","121.50","Food","Primary","burger"
"Mar 09, 2024 4:37 PM","(-) Expense","17.00","Food","Cash","samosa"
"Mar 09, 2024 6:23 PM","(-) Expense","1815.00","Entertainment","Primary","concert ticket"
"Mar 09, 2024 9:03 PM","(-) Expense","162.00","Food","Primary","biryani"
"Mar 10, 2024 8:21 AM","(-) Expense","13.00","Food","Primary","tea"
"Mar 10, 2024 1:04 PM","(-) Expense","185.00","Food","Primary","dinner"
"Mar 10, 2024 6:23 PM","(-) Expense","1217.00","Entertainment","Primary","concert ticket"
"Mar 11, 2024 8:19 AM","(-) Expense","33.00","Food","Primary","filter coffee"
"Mar 11, 2024 8:53 AM","(-) Expense","50.00","Transportation","Metro","metro"
"Mar 11, 2024 1:07 PM","(-) Expense","103.00","Food","Primary","office cafeteria"
"Mar 11, 2024 4:41 PM","(-) Expense","24.00","Food","Primary","biscuit"
"Mar 11, 2024 7:11 PM","(-) Expense","41.00","Transportation","Metro","metro"
"Mar 12, 2024 8:17 AM","(-) Expense","15.00","Food","Primary","tea"
"Mar 12, 2024 8:53 AM","(-) Expense","48.00","Transportation","Primary","metro"
"Mar 12, 2024 1:02 PM","(-) Expense","85.50","Food","Primary","dosa"
"Mar 12, 2024 4:39 PM","(-) Expense","35.00","Food","Primary","filter coffee"
"Mar 12, 2024 6:31 PM","(-) Expense","264.50","Telephone","Primary","prepaid top-up"
"Mar 13, 2024 8:19 AM","(-) Expense","10.50","Food","Primary","cutting chai"
"Mar 13, 2024 8:50 AM","(-) Expense","59.00","Transportation","Metro","metro"
"Mar 13, 2024 1:02 PM","(-) Expense","66.00","Food","Primary","idli"
"Mar 13, 2024 4:38 PM","(-) Expense","35.00","Food","Primary","egg puff"
"Mar 13, 2024 7:12 PM","(-) Expense","54.00","Transportation","Metro","metro"
"Mar 14, 2024 7:00 AM","(-) Expense","54.50","Sport","Primary","sports drink"
"Mar 14, 2024 8:17 AM","(-) Expense","15.00","Food","Primary","tea"
"Mar 14, 2024 8:52 AM","(-) Expense","26.00","Transportation","Primary","bus"
"Mar 14, 2024 12:00 PM","(+) Income","200.50","Refunds","Primary","cashback"
"Mar 14, 2024 1:08 PM","(-) Expense","155.00","Food","Primary","lunch"
"Mar 15, 2024 8:19 AM","(-) Expense","12.00","Food","Cash","tea"
"Mar 15, 2024 8:50 AM","(-) Expense","31.00","Transportation","Primary","bus"
"Mar 15, 2024 1:08 PM","(-) Expense","104.00","Food","Primary","thali"
"Mar 15, 2024 6:00 PM","(-) Expense","367.00","Social","Primary","holi colors and snacks"
"Mar 15, 2024 7:09 PM","(-) Expense","32.00","Transportation","Primary","bus"
"Mar 15, 2024 8:03 PM","(*) Transfer","8869.00","-","Primary->Credit","credit card payment"
"Mar 16, 2024 7:00 AM","(-) Expense","59.00","Sport","Primary","sports drink"
"Mar 16, 2024 8:20 AM","(-) Expense","10.00","Food","Primary","tea"
"Mar 16, 2024 1:07 PM","(-) Expense","126.00","Food","Primary","thali"
"Mar 16, 2024 4:01 PM","(-) Expense","1684.00","Shopping","Primary","earphones"
"Mar 16, 2024 8:10 PM","(-) Expense","510.00","Social","Primary","friend birthday gift"
"Mar 16, 2024 9:00 PM","(-) Expense","166.50","Food","Primary","burger"
"Mar 17, 2024 8:17 AM","(-) Expense","10.00","Food","Cash","tea"
"Mar 17, 2024 1:04 PM","(-) Expense","346.00","Food","Primary","pizza"
"Mar 17, 2024 4:39 PM","(-) Expense","39.00","Food","Primary","poha"
"Mar 17, 2024 6:21 PM","(-) Expense","2193.00","Entertainment","Primary","concert ticket"
"Mar 17, 2024 8:08 PM","(-) Expense","344.00","Social","Primary","festival sweets"
"Mar 18, 2024 8:13 AM","(*) Transfer","373.50","-","Primary->Metro","metro card top-up"
"Mar 18, 2024 8:17 AM","(-) Expense","27.00","Food","Primary","filter coffee"
"Mar 18, 2024 8:52 AM","(-) Expense","36.00","Transportation","Primary","metro"
"Mar 18, 2024 1:03 PM","(-) Expense","52.00","Food","Primary","idli"
"Mar 18, 2024 4:37 PM","(-) Expense","12.00","Food","Cash","tea"
"Mar 18, 2024 7:08 PM","(-) Expense","42.00","Transportation","Primary","metro"
"Mar 19, 2024 7:00 AM","(-) Expense","320.00","Sport","Primary","badminton court"
"Mar 19, 2024 8:21 AM","(-) Expense","11.00","Food","Primary","tea"
"Mar 19, 2024 8:47 AM","(-) Expense","15.00","Transportation","Primary","bus"
"Mar 19, 2024 1:03 PM","(-) Expense","51.00","Food","Primary","idli"
"Mar 19, 2024 4:43 PM","(-) Expense","40.00","Food","Primary","egg puff"
"Mar 19, 2024 7:13 PM","(-) Expense","33.00","Transportation","Primary","bus"
"Mar 19, 2024 9:00 PM","(-) Expense","219.00","Food","Primary","dinner"
"Mar 20, 2024 8:20 AM","(-) Expense","10.00","Food","Primary","cutting chai"
"Mar 20, 2024 8:48 AM","(-) Expense","50.00","Transportation","Metro","metro"
"Mar 20, 2024 1:06 PM","(-) Expense","155.50","Food","Primary","thali"
"Mar 20, 2024 4:41 PM","(-) Expense","21.00","Food","Primary","samosa"
"Mar 20, 2024 5:42 PM","(*) Transfer","2259.00","-","Primary->Cash","atm cash"
"Mar 20, 2024 7:11 PM","(-) Expense","47.00","Transportation","Metro","metro"
"Mar 20, 2024 9:00 PM","(-) Expense","102.00","Food","Primary","office cafeteria"
"Mar 21, 2024 7:00 AM","(-) Expense","104.00","Sport","Primary","gym day pass"
"Mar 21, 2024 8:19 AM","(-) Expense","23.00","Food","Primary","filter coffee"
"Mar 21, 2024 8:50 AM","(-) Expense","24.00","Transportation","Primary","bus"
"Mar 21, 2024 1:04 PM","(-) Expense","109.00","Food","Primary","office cafeteria"
"Mar 21, 2024 4:41 PM","(-) Expense","81.00","Food","Primary","ice cream"
"Mar 21, 2024 7:10 PM","(-) Expense","21.00","Transportation","Primary","bus"
"Mar 22, 2024 1:04 PM","(-) Expense","50.00","Food","Primary","dosa"
"Mar 23, 2024 7:00 AM","(-) Expense","144.00","Sport","Primary","swimming"
"Mar 23, 2024 8:22 AM","(-) Expense","31.00","Food","Cash","filter coffee"
"Mar 23, 2024 1:08 PM","(-) Expense","487.50","Food","Primary","outside dinner"
"Mar 23, 2024 4:39 PM","(-) Expense","33.00","Food","Primary","filter coffee"
"Mar 23, 2024 9:00 PM","(-) Expense","463.00","Food","Primary","weekend brunch"
"Mar 24, 2024 8:18 AM","(-) Expense","15.00","Food","Primary","tea"
"Mar 24, 2024 11:05 AM","(-) Expense","94.00","Ration","Primary","eggs pack"
"Mar 24, 2024 11:09 AM","(-) Expense","106.00","Ration","Primary","eggs pack"
"Mar 24, 2024 1:05 PM","(-) Expense","100.00","Food","Primary","burger"
"Mar 24, 2024 3:33 PM","(-) Expense","473.00","Health","Primary","vitamins"
"Mar 24, 2024 4:40 PM","(-) Expense","22.00","Food","Primary","vada pav"
"Mar 24, 2024 6:22 PM","(-) Expense","928.00","Entertainment","Primary","game purchase"
"Mar 25, 2024 8:23 AM","(-) Expense","14.00","Food","Primary","tea"
"Mar 25, 2024 8:51 AM","(-) Expense","19.00","Transportation","Primary","bus"
"Mar 25, 2024 1:06 PM","(-) Expense","64.00","Food","Primary","idli"
"Mar 25, 2024 7:08 PM","(-) Expense","15.00","Transportation","Primary","bus"
"Mar 26, 2024 7:00 AM","(-) Expense","351.00","Sport","Primary","badminton court"
"Mar 26, 2024 8:23 AM","(-) Expense","10.00","Food","Primary","cutting chai"
"Mar 26, 2024 8:50 AM","(-) Expense","58.00","Transportation","Metro","metro"
"Mar 26, 2024 1:04 PM","(-) Expense","123.00","Food","Primary","office cafeteria"
"Mar 26, 2024 7:10 PM","(-) Expense","54.00","Transportation","Metro","metro"
"Mar 26, 2024 9:00 PM","(-) Expense","99.00","Food","Primary","office cafeteria"
"Mar 27, 2024 8:22 AM","(-) Expense","26.00","Food","Primary","filter coffee"
"Mar 27, 2024 8:47 AM","(-) Expense","29.00","Transportation","Primary","bus"
"Mar 27, 2024 1:07 PM","(-) Expense","127.00","Food","Primary","office cafeteria"
"Mar 27, 2024 4:00 PM","(-) Expense","941.00","Shopping","Primary","earphones"
"Mar 27, 2024 7:10 PM","(-) Expense","25.00","Transportation","Primary","bus"
"Mar 28, 2024 8:22 AM","(-) Expense","13.00","Food","Primary","tea"
"Mar 28, 2024 8:52 AM","(-) Expense","53.00","Transportation","Primary","metro"
"Mar 28, 2024 1:08 PM","(-) Expense","46.00","Food","Primary","idli"
"Mar 28, 2024 7:12 PM","(-) Expense","46.00","Transportation","Primary","metro"
"Mar 28, 2024 9:00 PM","(-) Expense","83.00","Food","Primary","lunch"
"Mar 29, 2024 8:19 AM","(-) Expense","11.00","Food","Cash","cutting chai"
"Mar 29, 2024 8:50 AM","(-) Expense","42.00","Transportation","Metro","metro"
"Mar 29, 2024 1:05 PM","(-) Expense","83.00","Food","Primary","office cafeteria"
"Mar 29, 2024 4:39 PM","(-) Expense","10.50","Food","Primary","biscuit"
"Mar 29, 2024 7:08 PM","(-) Expense","40.00","Transportation","Metro","metro"
"Mar 30, 2024 7:01 AM","(-) Expense","191.00","Sport","Primary","gym day pass"
"Mar 30, 2024 8:22 AM","(-) Expense","26.00","Food","Primary","filter coffee"
"Mar 30, 2024 2:01 PM","(-) Expense","2396.00","Education","Primary","online course"
"Mar 30, 2024 4:42 PM","(-) Expense","12.00","Food","Primary","cutting chai"
"Mar 31, 2024 8:18 AM","(-) Expense","26.00","Food","Primary","filter coffee"
"Mar 31, 2024 1:07 PM","(-) Expense","469.00","Food","Primary","weekend brunch"
"Mar 31, 2024 4:43 PM","(-) Expense","41.50","Food","Primary","fruit salad"
"Mar 31, 2024 6:19 PM","(-) Expense","590.00","Entertainment","Primary","game purchase"
"Apr 01, 2024 9:15 AM","(+) Income","48000.00","Salary","Primary","monthly salary"
"Apr 01, 2024 9:40 AM","(*) Transfer","12408.00","-","Primary->Savings","monthly save"
"Apr 01, 2024 9:52 AM","(*) Transfer","4861.00","-","Savings->Emergency","emergency fund"
"Apr 01, 2024 1:06 PM","(-) Expense","103.00","Food","Primary","office cafeteria"
"Apr 01, 2024 4:37 PM","(-) Expense","31.00","Food","Cash","egg puff"
"Apr 01, 2024 9:00 PM","(-) Expense","141.00","Food","Primary","burger"
"Apr 02, 2024 7:00 AM","(-) Expense","281.00","Sport","Primary","badminton court"
"Apr 02, 2024 8:18 AM","(-) Expense","11.50","Food","Primary","cutting chai"
"Apr 02, 2024 8:50 AM","(-) Expense","32.00","Transportation","Primary","bus"
"Apr 02, 2024 10:05 AM","(-) Expense","9336.00","Home","Primary","rent share"
"Apr 02, 2024 1:06 PM","(-) Expense","114.00","Food","Primary","office cafeteria"
"Apr 02, 2024 4:39 PM","(-) Expense","36.00","Food","Cash","poha"
"Apr 02, 2024 9:00 PM","(-) Expense","289.00","Food","Primary","weekend brunch"
"Apr 03, 2024 8:07 AM","(*) Transfer","315.00","-","Primary->Metro","metro card top-up"
"Apr 03, 2024 8:23 AM","(-) Expense","33.50","Food","Primary","filter coffee"
"Apr 03, 2024 8:52 AM","(-) Expense","29.00","Transportation","Primary","bus"
"Apr 03, 2024 1:07 PM","(-) Expense","157.00","Food","Primary","thali"
"Apr 03, 2024 7:10 PM","(-) Expense","30.00","Transportation","Primary","bus"
"Apr 03, 2024 9:02 PM","(-) Expense","287.00","Food","Primary","weekend brunch"
"Apr 04, 2024 7:02 AM","(-) Expense","52.50","Sport","Primary","sports drink"
"Apr 04, 2024 8:18 AM","(-) Expense","14.00","Food","Primary","tea"
"Apr 04, 2024 8:51 AM","(-) Expense","53.00","Transportation","Metro","metro"
"Apr 04, 2024 1:07 PM","(-) Expense","126.00","Food","Primary","lunch"
"Apr 04, 2024 4:03 PM","(-) Expense","1544.00","Shopping","Primary","earphones"
"Apr 04, 2024 7:10 PM","(-) Expense","55.00","Transportation","Metro","metro"
"Apr 05, 2024 8:18 AM","(-) Expense","10.50","Food","Primary","cutting chai"
"Apr 05, 2024 8:53 AM","(-) Expense","40.00","Transportation","Metro","metro"
"Apr 05, 2024 11:18 AM","(-) Expense","645.00","Bills","Primary","wifi"
"Apr 05, 2024 1:04 PM","(-) Expense","85.00","Food","Primary","lunch"
"Apr 05, 2024 4:42 PM","(-) Expense","41.00","Food","Cash","poha"
"Apr 05, 2024 7:13 PM","(-) Expense","46.00","Transportation","Metro","metro"
"Apr 06, 2024 7:00 AM","(-) Expense","187.50","Sport","Primary","gym day pass"
"Apr 06, 2024 11:27 AM","(-) Expense","817.50","Ration","Primary","grocery restock"
"Apr 06, 2024 11:35 AM","(-) Expense","389.00","Ration","Primary","weekly veggies"
"Apr 06, 2024 1:05 PM","(-) Expense","439.00","Food","Primary","weekend brunch"
"Apr 06, 2024 4:39 PM","(-) Expense","60.00","Food","Primary","juice"
"Apr 07, 2024 11:06 AM","(-) Expense","120.00","Ration","Primary","milk and curd"
"Apr 07, 2024 11:08 AM","(-) Expense","371.00","Ration","Primary","weekly veggies"
"Apr 07, 2024 11:10 AM","(-) Expense","878.00","Ration","Primary","grocery restock"
"Apr 07, 2024 11:13 AM","(-) Expense","242.50","Ration","Primary","rice and dal"
"Apr 07, 2024 11:23 AM","(-) Expense","96.50","Ration","Primary","milk and curd"
"Apr 07, 2024 4:43 PM","(-) Expense","31.00","Food","Cash","idli"
"Apr 07, 2024 9:00 PM","(-) Expense","435.00","Food","Primary","weekend brunch"
"Apr 08, 2024 8:21 AM","(-) Expense","31.00","Food","Primary","filter coffee"
"Apr 08, 2024 8:52 AM","(-) Expense","30.00","Transportation","Primary","bus"
"Apr 08, 2024 12:11 PM","(-) Expense","1107.00","Bills","Primary","electricity"
"Apr 08, 2024 1:04 PM","(-) Expense","77.00","Food","Primary","office cafeteria"
"Apr 08, 2024 4:41 PM","(-) Expense","29.50","Food","Cash","water bottle"
"Apr 08, 2024 5:01 PM","(-) Expense","1335.50","Clothing","Primary","jeans"
"Apr 08, 2024 7:13 PM","(-) Expense","26.00","Transportation","Primary","bus"
"Apr 09, 2024 8:21 AM","(-) Expense","13.00","Food","Primary","tea"
"Apr 09, 2024 8:49 AM","(-) Expense","18.00","Transportation","Primary","bus"
"Apr 09, 2024 1:06 PM","(-) Expense","106.00","Food","Primary","lunch"
"Apr 09, 2024 7:10 PM","(-) Expense","29.00","Transportation","Primary","bus"
"Apr 10, 2024 8:22 AM","(-) Expense","12.00","Food","Cash","cutting chai"
"Apr 10, 2024 8:52 AM","(-) Expense","40.00","Transportation","Primary","metro"
"Apr 10, 2024 1:07 PM","(-) Expense","54.00","Food","Primary","idli"
"Apr 10, 2024 4:41 PM","(-) Expense","31.00","Food","Primary","filter coffee"
"Apr 10, 2024 7:13 PM","(-) Expense","34.00","Transportation","Primary","metro"
"Apr 11, 2024 7:00 AM","(-) Expense","198.00","Sport","Primary","gym day pass"
"Apr 11, 2024 8:18 AM","(-) Expense","11.00","Food","Cash","cutting chai"
"Apr 11, 2024 8:52 AM","(-) Expense","35.00","Transportation","Metro","metro"
"Apr 11, 2024 4:42 PM","(-) Expense","83.50","Food","Cash","dosa"
"Apr 11, 2024 7:13 PM","(-) Expense","44.00","Transportation","Metro","metro"
"Apr 12, 2024 8:22 AM","(-) Expense","11.50","Food","Primary","cutting chai"
"Apr 12, 2024 8:52 AM","(-) Expense","53.00","Transportation","Metro","metro"
"Apr 12, 2024 1:02 PM","(-) Expense","105.00","Food","Primary","office cafeteria"
"Apr 12, 2024 4:42 PM","(-) Expense","21.00","Food","Cash","water bottle"
"Apr 12, 2024 6:32 PM","(-) Expense","318.00","Telephone","Primary","prepaid top-up"
"Apr 12, 2024 7:07 PM","(-) Expense","42.00","Transportation","Metro","metro"
"Apr 13, 2024 8:21 AM","(-) Expense","11.50","Food","Cash","cutting chai"
"Apr 13, 2024 11:06 AM","(-) Expense","73.00","Ration","Primary","eggs pack"
"Apr 13, 2024 11:14 AM","(-) Expense","96.00","Ration","Primary","milk and curd"
"Apr 13, 2024 11:17 AM","(-) Expense","420.00","Ration","Primary","grocery restock"
"Apr 13, 2024 1:06 PM","(-) Expense","204.00","Food","Primary","thali"
"Apr 13, 2024 6:21 PM","(-) Expense","274.50","Entertainment","Primary","movie"
"Apr 13, 2024 8:08 PM","(-) Expense","380.50","Social","Primary","friend birthday gift"
"Apr 14, 2024 1:06 PM","(-) Expense","384.00","Food","Primary","outside dinner"
"Apr 14, 2024 8:09 PM","(-) Expense","132.00","Social","Primary","festival sweets"
"Apr 14, 2024 9:00 PM","(-) Expense","91.00","Food","Primary","office cafeteria"
"Apr 15, 2024 8:22 AM","(-) Expense","11.00","Food","Primary","cutting chai"
"Apr 15, 2024 8:51 AM","(-) Expense","52.00","Transportation","Metro","metro"
"Apr 15, 2024 1:04 PM","(-) Expense","90.00","Food","Primary","lunch"
"Apr 15, 2024 2:00 PM","(-) Expense","1068.00","Education","Primary","exam fee"
"Apr 15, 2024 4:39 PM","(-) Expense","30.00","Food","Cash","filter coffee"
"Apr 15, 2024 7:13 PM","(-) Expense","49.00","Transportation","Metro","metro"
"Apr 15, 2024 8:05 PM","(*) Transfer","8641.00","-","Primary->Credit","credit card payment"
"Apr 16, 2024 7:02 AM","(-) Expense","63.00","Sport","Primary","swimming"
"Apr 16, 2024 8:19 AM","(-) Expense","30.50","Food","Cash","filter coffee"
"Apr 16, 2024 8:47 AM","(-) Expense","43.50","Transportation","Metro","metro"
"Apr 16, 2024 1:06 PM","(-) Expense","85.00","Food","Primary","dosa"
"Apr 16, 2024 7:09 PM","(-) Expense","56.00","Transportation","Metro","metro"
"Apr 17, 2024 8:19 AM","(-) Expense","14.00","Food","Primary","tea"
"Apr 17, 2024 8:51 AM","(-) Expense","34.00","Transportation","Primary","bus"
"Apr 17, 2024 1:08 PM","(-) Expense","107.00","Food","Primary","thali"
"Apr 17, 2024 7:09 PM","(-) Expense","28.00","Transportation","Primary","bus"
"Apr 18, 2024 8:10 AM","(*) Transfer","403.00","-","Primary->Metro","metro card top-up"
"Apr 18, 2024 8:22 AM","(-) Expense","33.00","Food","Primary","filter coffee"
"Apr 18, 2024 8:53 AM","(-) Expense","55.00","Transportation","Metro","metro"
"Apr 18, 2024 1:07 PM","(-) Expense","74.00","Food","Primary","dosa"
"Apr 18, 2024 7:12 PM","(-) Expense","47.00","Transportation","Metro","metro"
"Apr 19, 2024 8:19 AM","(-) Expense","34.00","Food","Primary","filter coffee"
"Apr 19, 2024 8:50 AM","(-) Expense","37.00","Transportation","Metro","metro"
